Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_comment""), ""Katalon"")",Windows - Chrome 119.0.0.0,,,25-01-2024 17:25:44,25-01-2024 17:25:50,6.328s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Windows - Chrome 119.0.0.0,,,25-01-2024 17:25:50,25-01-2024 17:25:55,4.814s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Windows - Chrome 119.0.0.0,,,25-01-2024 17:25:55,25-01-2024 17:25:58,2.828s,PASSED
,,,,,,,
Test Cases/History validation__005,Windows - Chrome 119.0.0.0,,,25-01-2024 17:25:58,25-01-2024 17:26:07,8.644s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/amenu-toggle""))",Windows - Chrome 119.0.0.0,,,25-01-2024 17:25:58,25-01-2024 17:26:01,2.855s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_History""))",Windows - Chrome 119.0.0.0,,,25-01-2024 17:26:01,25-01-2024 17:26:04,2.917s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Hongkong CURA Healthcare Center""))",Windows - Chrome 119.0.0.0,,,25-01-2024 17:26:04,25-01-2024 17:26:07,2.800s,PASSED
,,,,,,,
Test Cases/TC_cura logout__003,Windows - Chrome 119.0.0.0,,,25-01-2024 17:26:07,25-01-2024 17:26:21,14.356s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/amenu-toggle""))",Windows - Chrome 119.0.0.0,,,25-01-2024 17:26:07,25-01-2024 17:26:10,2.844s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Logout""))",Windows - Chrome 119.0.0.0,,,25-01-2024 17:26:10,25-01-2024 17:26:12,2.791s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Logout""))",Windows - Chrome 119.0.0.0,,,25-01-2024 17:26:12,25-01-2024 17:26:16,3.029s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/amenu-toggle""))",Windows - Chrome 119.0.0.0,,,25-01-2024 17:26:16,25-01-2024 17:26:18,2.927s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""))",Windows - Chrome 119.0.0.0,,,25-01-2024 17:26:18,25-01-2024 17:26:21,2.695s,PASSED
